season,episode,img_src,painting_title,hex_codes
8,13,https://www.twoinchbrush.com/images/painting202.png,Northern Lights,#7F86B1
9,1,https://www.twoinchbrush.com/images/painting177.png,Winter Evergreens,#B1B1C9
9,2,https://www.twoinchbrush.com/images/painting178.png,Surf's Up,#A8AACF
9,3,https://www.twoinchbrush.com/images/painting179.png,Red Sunset,#B89371
9,4,https://www.twoinchbrush.com/images/painting180.png,Meadow Road,#9897A6
9,5,https://www.twoinchbrush.com/images/painting181.png,Winter Oval,#D4CFEA
9,6,https://www.twoinchbrush.com/images/painting182.png,Secluded Beach,#8796CD
9,7,https://www.twoinchbrush.com/images/painting183.png,Forest Hills,#9AA1A6
9,8,https://www.twoinchbrush.com/images/painting184.png,Little House by the Road,#93A09B
9,9,https://www.twoinchbrush.com/images/painting185.png,Mountain Path,#A4A3A8
9,10,https://www.twoinchbrush.com/images/painting186.png,Country Charm,#A09DA3
9,11,https://www.twoinchbrush.com/images/painting187.png,Nature's Paradise,#B5A08C
9,12,https://www.twoinchbrush.com/images/painting188.png,Mountain by the Sea,#929ECD
9,13,https://www.twoinchbrush.com/images/painting189.png,Mountain Hideaway,#909B9F
10,1,https://www.twoinchbrush.com/images/painting163.png,Towering Peaks,#829EB0
10,2,https://www.twoinchbrush.com/images/painting164.png,Cabin at Sunset,#A19079
10,3,https://www.twoinchbrush.com/images/painting165.png,Twin Falls,#83919D
10,4,https://www.twoinchbrush.com/images/painting166.png,Secluded Bridge,#6D9996
10,5,https://www.twoinchbrush.com/images/painting167.png,Ocean Breeze,#8E8FC9
10,6,https://www.twoinchbrush.com/images/painting168.png,Autumn Woods,#8993A3
10,7,https://www.twoinchbrush.com/images/painting170.png,Winter Solitude,#C3A3DE
10,8,https://www.twoinchbrush.com/images/painting171.png,Golden Sunset,#B38C58
10,9,https://www.twoinchbrush.com/images/painting172.png,Mountain Oval,#9CA2C8
10,10,https://www.twoinchbrush.com/images/painting173.png,Ocean Sunset,#AE928C
10,11,https://www.twoinchbrush.com/images/painting174.png,Triple View,#B5B2C9
10,12,https://www.twoinchbrush.com/images/painting175.png,Winter Frost,#AC92C8
10,13,https://www.twoinchbrush.com/images/painting176.png,Lakeside Cabin,#7F9E9E
11,1,https://www.twoinchbrush.com/images/painting150.png,Mountain Stream,#6789A1
11,2,https://www.twoinchbrush.com/images/painting151.png,Country Cabin,#8990B7
11,3,https://www.twoinchbrush.com/images/painting152.png,Daisy Delight,#9B8062
11,4,https://www.twoinchbrush.com/images/painting153.png,Hidden Stream,#838FA0
11,5,https://www.twoinchbrush.com/images/painting154.png,Towering Glacier,#8397AD
11,6,https://www.twoinchbrush.com/images/painting155.png,Oval Barn,#7E95C0
11,7,https://www.twoinchbrush.com/images/painting156.png,Lakeside Path,#859595
11,8,https://www.twoinchbrush.com/images/painting157.png,Sunset Oval,#9F8F83
11,9,https://www.twoinchbrush.com/images/painting158.png,Winter Barn,#9190B0
11,10,https://www.twoinchbrush.com/images/painting159.png,Sunset over the Waves,#B28273
11,11,https://www.twoinchbrush.com/images/painting160.png,Golden Glow,#B89D4A
11,12,https://www.twoinchbrush.com/images/painting161.png,Roadside Barn,#8E9289
11,13,https://www.twoinchbrush.com/images/painting162.png,Happy Accident,#A68F71
12,1,https://www.twoinchbrush.com/images/painting137.png,Golden Knoll,#B38D5A
12,2,https://www.twoinchbrush.com/images/painting138.png,Mountain Reflections,#6F97AB
12,3,https://www.twoinchbrush.com/images/painting139.png,Secluded Mountain,#748E9D
12,4,https://www.twoinchbrush.com/images/painting140.png,Bright Autumn Trees,#888579
12,5,https://www.twoinchbrush.com/images/painting141.png,Black Seascape,#588CC8
12,6,https://www.twoinchbrush.com/images/painting142.png,Steep Mountains,#898E97
12,7,https://www.twoinchbrush.com/images/painting143.png,Quiet Mountains River,#938C92
12,8,https://www.twoinchbrush.com/images/painting144.png,Evening Waterfall,#53898F
12,9,https://www.twoinchbrush.com/images/painting145.png,Tropical Seascape,#939390
12,10,https://www.twoinchbrush.com/images/painting146.png,Mountain at Sunset,#917A67
12,11,https://www.twoinchbrush.com/images/painting147.png,Soft Mountain Glow,#979284
12,12,https://www.twoinchbrush.com/images/painting148.png,Mountain in an Oval,#978BA2
12,13,https://www.twoinchbrush.com/images/painting149.png,Winter Mountain,#7199C0
13,1,https://www.twoinchbrush.com/images/painting124.png,Rolling Hills,#AC8D73
13,2,https://www.twoinchbrush.com/images/painting125.png,Frozen Solitude,#7595C7
13,3,https://www.twoinchbrush.com/images/painting126.png,Meadow Brook,#8496B0
13,4,https://www.twoinchbrush.com/images/painting127.png,Evening at Sunset,#B78063
13,5,https://www.twoinchbrush.com/images/painting128.png,Mountain View,#939297
13,6,https://www.twoinchbrush.com/images/painting129.png,Hidden Creek,#809387
13,7,https://www.twoinchbrush.com/images/painting130.png,Peaceful Haven,#61A9C0
13,8,https://www.twoinchbrush.com/images/painting131.png,Mountain Exhibition,#7898AA
13,9,https://www.twoinchbrush.com/images/painting132.png,Emerald Waters,#748A22
13,10,https://www.twoinchbrush.com/images/painting133.png,Mountain Summit,#739AA2
13,11,https://www.twoinchbrush.com/images/painting134.png,Cabin Hideaway,#6F98C4
13,12,https://www.twoinchbrush.com/images/painting135.png,Oval Essence,#758FAA
13,13,https://www.twoinchbrush.com/images/painting136.png,Lost Lake,#889699
14,1,https://www.twoinchbrush.com/images/painting111.png,Distant Mountains,#7E9E9D
14,2,https://www.twoinchbrush.com/images/painting112.png,Meadow Brook Surprise,#8D94AA
14,3,https://www.twoinchbrush.com/images/painting113.png,Mountain Moonlight Oval,#8D9AA8
14,4,https://www.twoinchbrush.com/images/painting114.png,Snowy Solitude,#8CA1BB
14,5,https://www.twoinchbrush.com/images/painting115.png,Mountain River,#889AA8
14,6,https://www.twoinchbrush.com/images/painting116.png,Graceful Mountains,#7898AE
14,7,https://www.twoinchbrush.com/images/painting117.png,Windy Waves,#9095A1
14,8,https://www.twoinchbrush.com/images/painting118.png,On a Clear Day,#BFA184
14,9,https://www.twoinchbrush.com/images/painting119.png,Riverside Escape Oval,#969FA7
14,10,https://www.twoinchbrush.com/images/painting120.png,Surprising Falls,#658EA8
14,11,https://www.twoinchbrush.com/images/painting121.png,Shadow Pond,#859C6E
14,12,https://www.twoinchbrush.com/images/painting122.png,Misty Forest Oval,#A2A4A9
14,13,https://www.twoinchbrush.com/images/painting123.png,Natural Wonder,#709CAD
15,1,https://www.twoinchbrush.com/images/painting98.png,Splendor of Winter,#A5979D
15,2,https://www.twoinchbrush.com/images/painting99.png,Colors of Nature,#789B9E
15,3,https://www.twoinchbrush.com/images/painting100.png,Grandpa's Barn,#9E956A
15,4,https://www.twoinchbrush.com/images/painting101.png,Peaceful Reflections,#89A4A1
15,5,https://www.twoinchbrush.com/images/painting102.png,Hidden Winter Moon Oval,#9EA2B0
15,6,https://www.twoinchbrush.com/images/painting103.png,Waves of Wonder,#7C9ABC
15,7,https://www.twoinchbrush.com/images/painting104.png,Cabin by the Pond,#9E8FA1
15,8,https://www.twoinchbrush.com/images/painting105.png,Fall Stream,#859AA3
15,9,https://www.twoinchbrush.com/images/painting106.png,Christmas Eve Snow,#8695C3
15,10,https://www.twoinchbrush.com/images/painting107.png,Forest Down Oval,#A8A6A8
15,11,https://www.twoinchbrush.com/images/painting108.png,Pathway to Autumn,#9E9578
15,12,https://www.twoinchbrush.com/images/painting109.png,Deep Forest Lake,#848D6C
15,13,https://www.twoinchbrush.com/images/painting110.png,Peaks of Majesty,#A989A0
16,1,https://www.twoinchbrush.com/images/painting84.png,Two Seasons,#8293B8
16,2,https://www.twoinchbrush.com/images/painting85.png,Nestled Cabin,#8D9956
16,3,https://www.twoinchbrush.com/images/painting86.png,Wintertime Discovery,#979174
16,4,https://www.twoinchbrush.com/images/painting87.png,Mountain Mirage Wood Shape,#9290B5
16,5,https://www.twoinchbrush.com/images/painting88.png,Double Oval Fantasy,#83969E
16,6,https://www.twoinchbrush.com/images/painting89.png,Contemplative Lady,#BD8E37
16,7,https://www.twoinchbrush.com/images/painting90.png,Deep Woods,#A89455
16,8,https://www.twoinchbrush.com/images/painting91.png,High Tide,#A8A858
